11:10:09	脚本第_89行	CANDIDATE 1 CARD 2 MOTION sim 0.9 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 2 MOTION sim 0.88 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 2 MOTION sim 0.85 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_121行	-- CARD 3 STANDARD WINDOW --
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 STD sim 0.95 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 STD sim 0.93 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 STD sim 0.9 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 STD sim 0.88 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 STD sim 0.85 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_123行	-- CARD 3 MOTION WINDOW --
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 MOTION sim 0.95 MISS area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 MOTION sim 0.93 MISS area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_87行	CANDIDATE 1 CARD 3 MOTION sim 0.9 HIT 683 494 area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:09	脚本第_89行	CANDIDATE 1 CARD 3 MOTION sim 0.88 MISS area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_87行	CANDIDATE 1 CARD 3 MOTION sim 0.85 HIT 683 493 area 598 330 798 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_121行	-- CARD 4 STANDARD WINDOW --
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 STD sim 0.95 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 STD sim 0.93 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 STD sim 0.9 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 STD sim 0.88 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 STD sim 0.85 MISS area 891 350 1091 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_123行	-- CARD 4 MOTION WINDOW --
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 MOTION sim 0.95 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 MOTION sim 0.93 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 MOTION sim 0.9 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 MOTION sim 0.88 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 4 MOTION sim 0.85 MISS area 891 330 1091 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_121行	-- CARD 5 STANDARD WINDOW --
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 STD sim 0.95 MISS area 1178 350 1378 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 STD sim 0.93 MISS area 1178 350 1378 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 STD sim 0.9 MISS area 1178 350 1378 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 STD sim 0.88 MISS area 1178 350 1378 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 STD sim 0.85 MISS area 1178 350 1378 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_123行	-- CARD 5 MOTION WINDOW --
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 MOTION sim 0.95 MISS area 1178 330 1378 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 MOTION sim 0.93 MISS area 1178 330 1378 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 MOTION sim 0.9 MISS area 1178 330 1378 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_89行	CANDIDATE 1 CARD 5 MOTION sim 0.88 MISS area 1178 330 1378 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_87行	CANDIDATE 1 CARD 5 MOTION sim 0.85 HIT 1265 490 area 1178 330 1378 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita.png
11:10:10	脚本第_117行	==== HERO CANDIDATE CANDIDATE 2 Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png ====
11:10:10	脚本第_121行	-- CARD 1 STANDARD WINDOW --
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 STD sim 0.95 MISS area 18 350 218 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 STD sim 0.93 MISS area 18 350 218 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 STD sim 0.9 MISS area 18 350 218 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 STD sim 0.88 MISS area 18 350 218 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_87行	CANDIDATE 2 CARD 1 STD sim 0.85 HIT 108 491 area 18 350 218 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_123行	-- CARD 1 MOTION WINDOW --
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 MOTION sim 0.95 MISS area 18 330 218 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 MOTION sim 0.93 MISS area 18 330 218 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 MOTION sim 0.9 MISS area 18 330 218 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 MOTION sim 0.88 MISS area 18 330 218 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 1 MOTION sim 0.85 MISS area 18 330 218 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_121行	-- CARD 2 STANDARD WINDOW --
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 STD sim 0.95 MISS area 308 350 508 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 STD sim 0.93 MISS area 308 350 508 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 STD sim 0.9 MISS area 308 350 508 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 STD sim 0.88 MISS area 308 350 508 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_87行	CANDIDATE 2 CARD 2 STD sim 0.85 HIT 396 493 area 308 350 508 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_123行	-- CARD 2 MOTION WINDOW --
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 MOTION sim 0.95 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 MOTION sim 0.93 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 MOTION sim 0.9 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 MOTION sim 0.88 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:10	脚本第_89行	CANDIDATE 2 CARD 2 MOTION sim 0.85 MISS area 308 330 508 580 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_121行	-- CARD 3 STANDARD WINDOW --
11:10:11	脚本第_89行	CANDIDATE 2 CARD 3 STD sim 0.95 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
11:10:11	脚本第_89行	CANDIDATE 2 CARD 3 STD sim 0.93 MISS area 598 350 798 550 img Attachment:BATTLE_ATTACK_Hero_Card_okita_face.png
